Bandit,Reward,Algorithm
0,0.645606786744616,EpsilonGreedy
0,0.8374457420134263,EpsilonGreedy
0,0.7667344136936706,EpsilonGreedy
2,3.1393071762144116,EpsilonGreedy
2,2.06796939979213,EpsilonGreedy
2,3.8370885551990863,EpsilonGreedy
1,3.092782261321821,EpsilonGreedy
1,2.498864156407303,EpsilonGreedy
2,3.3937403989652566,EpsilonGreedy
2,2.7027552366687035,EpsilonGreedy
2,3.349474882763562,EpsilonGreedy
2,1.6056441071445007,EpsilonGreedy
2,3.5370749538693724,EpsilonGreedy
2,4.734321012742495,EpsilonGreedy
0,-0.4791574398992575,EpsilonGreedy
2,1.4482608134309098,EpsilonGreedy
2,2.221901097005011,EpsilonGreedy
2,2.475730583673694,EpsilonGreedy
2,3.4393463937713142,EpsilonGreedy
2,2.180416971967304,EpsilonGreedy
2,2.2182266467455642,EpsilonGreedy
2,3.220011857827831,EpsilonGreedy
2,2.985412096519771,EpsilonGreedy
2,2.3579817109963854,EpsilonGreedy
2,3.1555701904040268,EpsilonGreedy
2,2.657824090316174,EpsilonGreedy
2,2.8273551315583183,EpsilonGreedy
2,1.6065838154932337,EpsilonGreedy
1,2.45392253018743,EpsilonGreedy
2,2.5375790854787565,EpsilonGreedy
2,3.304524175018117,EpsilonGreedy
1,2.9629986835221356,EpsilonGreedy
2,3.0641440948404672,EpsilonGreedy
2,3.275090966138238,EpsilonGreedy
2,5.351693237766806,EpsilonGreedy
2,1.7711615587391625,EpsilonGreedy
2,1.7467190905692012,EpsilonGreedy
2,5.06341951861573,EpsilonGreedy
2,2.81352584702609,EpsilonGreedy
2,2.6619632390375005,EpsilonGreedy
2,3.3997319081215664,EpsilonGreedy
2,2.335368754111416,EpsilonGreedy
2,1.5333731058033393,EpsilonGreedy
2,4.771074864102115,EpsilonGreedy
2,1.7191040630579315,EpsilonGreedy
2,1.222719004265959,EpsilonGreedy
2,1.502204667987362,EpsilonGreedy
2,3.543751235027882,EpsilonGreedy
2,3.528871209540739,EpsilonGreedy
2,3.1367186976168817,EpsilonGreedy
2,3.0866661896621688,EpsilonGreedy
2,3.356962553858505,EpsilonGreedy
2,1.9340247277205012,EpsilonGreedy
2,0.1427478105063016,EpsilonGreedy
2,3.876014421719118,EpsilonGreedy
2,3.248496127674029,EpsilonGreedy
2,3.360966280107898,EpsilonGreedy
2,3.8743795134439987,EpsilonGreedy
2,1.408418569226349,EpsilonGreedy
2,4.033196420170197,EpsilonGreedy
2,3.285226558423516,EpsilonGreedy
2,2.189193430230813,EpsilonGreedy
2,2.3019102455244966,EpsilonGreedy
2,1.6372771939738662,EpsilonGreedy
2,2.654291282245992,EpsilonGreedy
2,3.2377467518456267,EpsilonGreedy
2,3.076212125612363,EpsilonGreedy
2,2.7524134150620947,EpsilonGreedy
2,4.487910486937181,EpsilonGreedy
2,3.5942266256389277,EpsilonGreedy
2,3.1721935743841834,EpsilonGreedy
2,4.930526019876432,EpsilonGreedy
2,3.647918612696719,EpsilonGreedy
2,3.0342447619792745,EpsilonGreedy
2,3.02218880887752,EpsilonGreedy
2,4.495649412345232,EpsilonGreedy
2,3.166764176473086,EpsilonGreedy
2,3.4053778068974387,EpsilonGreedy
2,2.5506943929327743,EpsilonGreedy
2,2.583511413702858,EpsilonGreedy
2,1.9588891939347197,EpsilonGreedy
2,2.4010872247308646,EpsilonGreedy
2,2.8725934632014116,EpsilonGreedy
2,1.971150323264168,EpsilonGreedy
2,2.577155695271559,EpsilonGreedy
2,1.4579351764314008,EpsilonGreedy
2,1.784113673220481,EpsilonGreedy
2,3.002275977537472,EpsilonGreedy
2,1.6279951827849486,EpsilonGreedy
2,2.05368474311694,EpsilonGreedy
2,2.6540807025225552,EpsilonGreedy
2,4.050175481326477,EpsilonGreedy
